section,window_id,selected_rank,config_hash,trade_id,event_id,symbol,market,signal_date,entry_date,exit_date,net_return,net_pnl,buy_notional,taiex_close,taiex_day0_return,taiex_5d_return,taiex_20d_return,taiex_close_above_ma20,taiex_close_above_ma60,taiex_drawdown_from_60d_high,bull_regime,bear_regime,correction_regime,strong_market_day,weak_market_day,taiex_day0_return_bucket,taiex_5d_return_bucket,taiex_20d_return_bucket,year,quarter,index_data_available,taiex_source,summary_level,group,trades,avg_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,max_drawdown,scenario,trade_share,net_pnl_share
trades,,,097dd332,b3154889bca343dd0f48,TWSE:3055:20240109:closed_limit_up:7f7bd68cb206,3055,TWSE,2024-01-09,2024-01-09,2024-01-11,-0.013507079781420767,-2471.7956000000004,183000.0,17535.49,-0.0021152176164563885,-0.01782649705160133,0.006725669610307294,False,True,-0.022046968318776394,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,11aecf31f1c3a29b5a2c,TPEX:3287:20240109:closed_limit_up:08574f04c415,3287,TPEX,2024-01-09,2024-01-09,2024-01-10,0.05714229060913706,11257.03125,197000.0,17535.49,-0.0021152176164563885,-0.01782649705160133,0.006725669610307294,False,True,-0.022046968318776394,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,3255da97abbbd813fd76,TWSE:4956:20240109:closed_limit_up:d2d97225bed2,4956,TWSE,2024-01-09,2024-01-09,2024-01-11,0.10136242403628118,15645.29015,154350.0,17535.49,-0.0021152176164563885,-0.01782649705160133,0.006725669610307294,False,True,-0.022046968318776394,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,c74f42df05036cbd2ff4,TPEX:6140:20240109:closed_limit_up:42b4ad41a115,6140,TPEX,2024-01-09,2024-01-09,2024-01-10,0.03246621007194245,5641.004,173750.0,17535.49,-0.0021152176164563885,-0.01782649705160133,0.006725669610307294,False,True,-0.022046968318776394,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,f5f395567ea108c531b1,TPEX:5426:20240110:closed_limit_up:1b35862ddc4d,5426,TPEX,2024-01-10,2024-01-10,2024-01-11,0.02074305128205128,3640.4055,175500.0,17465.63,-0.003983920609004987,-0.005335061571326016,0.0008595678207605761,False,True,-0.02594305555633014,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,c7880177a1356154aa06,TPEX:6140:20240110:closed_limit_up:4f39afbc9311,6140,TPEX,2024-01-10,2024-01-10,2024-01-11,0.09429058115183246,18009.501,191000.0,17465.63,-0.003983920609004987,-0.005335061571326016,0.0008595678207605761,False,True,-0.02594305555633014,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,918447fb77aaa0cc865a,TPEX:8096:20240110:closed_limit_up:17a092d404ef,8096,TPEX,2024-01-10,2024-01-10,2024-01-11,0.02896813559322034,5383.728,185850.0,17465.63,-0.003983920609004987,-0.005335061571326016,0.0008595678207605761,False,True,-0.02594305555633014,False,False,False,False,False,-0.5%_0,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,8fd080e56685059a6c4a,TWSE:2423:20240111:closed_limit_up:046dbcb4ddb9,2423,TWSE,2024-01-11,2024-01-11,2024-01-12,0.0007420500556173522,100.06544999999994,134850.0,17545.32,0.004562675380160863,-0.0002467285672365094,0.004372906640532692,False,True,-0.02149874991704237,False,False,False,False,False,0_0.5%,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,277d7453fc23a432f110,TWSE:3622:20240111:closed_limit_up:a4e48d35a294,3622,TWSE,2024-01-11,2024-01-11,2024-01-12,-0.01879941967871486,-3744.8444,199200.0,17545.32,0.004562675380160863,-0.0002467285672365094,0.004372906640532692,False,True,-0.02149874991704237,False,False,False,False,False,0_0.5%,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,b954ce5d3bcc2de49911,TPEX:4909:20240111:closed_limit_up:f9b611040687,4909,TPEX,2024-01-11,2024-01-11,2024-01-12,0.031804136482939636,6058.688,190500.0,17545.32,0.004562675380160863,-0.0002467285672365094,0.004372906640532692,False,True,-0.02149874991704237,False,False,False,False,False,0_0.5%,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
trades,,,097dd332,42ec0e496b04a6a9f2c8,TPEX:5426:20240111:closed_limit_up:bfca00b52154,5426,TPEX,2024-01-11,2024-01-11,2024-01-12,0.021537485225505443,4154.5809,192900.0,17545.32,0.004562675380160863,-0.0002467285672365094,0.004372906640532692,False,True,-0.02149874991704237,False,False,False,False,False,0_0.5%,-2%_0,0_2%,2024.0,2024Q1,True,twse_public_mi_5mins_hist,,,,,,,,,,,,
