section,window_id,selected_rank,config_hash,trade_id,event_id,symbol,market,signal_date,entry_date,exit_date,day0_open_px,day0_high_px,day0_low_px,day0_close_px,day0_limit_up_price,day0_range_pct,day0_open_to_close_return,day0_high_equals_close,day0_high_equals_low_equals_close,day0_close_equals_limit_up,day0_turnover_twd,day0_volume_shares,day0_trades,day0_turnover_per_trade,day0_turnover_percentile_by_symbol_252d,volume_ratio_20d,consecutive_limit_up_count,prior_5d_return,prior_20d_return,next_open_gap,net_return,net_pnl,buy_notional,execution_risk_bucket,fill_quality_score,base_fill_reason,trades,trade_share,average_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,net_pnl_share,avg_return_contribution,max_drawdown,scenario,kept_trades,removed_trades,kept_trade_share,kept_pnl_share,fill_rate,iterations,mean_filled_trades,median_filled_trades,mean_total_net_pnl,median_total_net_pnl,p05_total_net_pnl,p95_total_net_pnl,mean_avg_net_return,median_avg_net_return,p05_avg_net_return,p95_avg_net_return
trades,,,35adc734,59392f9862be112292ea,TPEX:3287:20240109:closed_limit_up:08574f04c415,3287,TPEX,2024-01-09,2024-01-09,2024-01-10,37.3,39.4,36.5,39.4,39.4,0.07945205479452055,0.05630026809651478,True,False,True,758953929.0,19805722.0,8332.0,91089.04572731638,1.0,5.474603905216984,3.0,,,0.06218274111675127,0.05714229060913706,11257.03125,197000.0,likely_fillable,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,ff71935f6aecf2fcd59d,TPEX:6140:20240109:closed_limit_up:42b4ad41a115,6140,TPEX,2024-01-09,2024-01-09,2024-01-10,32.2,34.75,31.75,34.75,34.7,0.09448818897637801,0.07919254658385078,True,False,False,835767863.0,24893087.0,12004.0,69624.1138787071,0.9959016393442623,3.128628748291329,1.0,,,0.03741007194244604,0.03246621007194245,5641.004,173750.0,likely_fillable,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,af7b1aa82cc60ab3f3a3,TPEX:5426:20240110:closed_limit_up:1b35862ddc4d,5426,TPEX,2024-01-10,2024-01-10,2024-01-11,27.5,29.25,27.1,29.25,29.2,0.0793357933579335,0.06363636363636371,True,False,False,959679790.0,33910489.0,14505.0,66161.99862116511,0.9959183673469387,3.2415821252619605,2.0,,,0.02564102564102564,0.02074305128205128,3640.4055,175500.0,likely_fillable,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,69e07727313a6d2399f3,TPEX:6140:20240110:closed_limit_up:4f39afbc9311,6140,TPEX,2024-01-10,2024-01-10,2024-01-11,36.05,38.2,35.55,38.2,38.2,0.07454289732770758,0.05963938973647731,True,False,True,1179960020.0,31981992.0,14563.0,81024.51555311406,0.9959183673469387,3.5583408525675333,2.0,,,0.09947643979057591,0.09429058115183246,18009.501,191000.0,very_fillable_proxy,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,7d770084e83323210749,TPEX:8096:20240110:closed_limit_up:17a092d404ef,8096,TPEX,2024-01-10,2024-01-10,2024-01-11,19.1,20.65,18.4,20.65,20.6,0.1222826086956521,0.08115183246073276,True,False,False,1033148774.0,52205343.0,22311.0,46306.69956523688,0.9959183673469387,2.880005689249599,1.0,,,0.03389830508474576,0.02896813559322034,5383.728,185850.0,very_fillable_proxy,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,bf1e1e5d70db2fc3e716,TPEX:4909:20240111:closed_limit_up:f9b611040687,4909,TPEX,2024-01-11,2024-01-11,2024-01-12,35.45,38.1,35.45,38.1,38.1,0.07475317348377986,0.07475317348377986,True,False,True,817180150.0,22166785.0,11460.0,71307.16841186736,0.9959349593495935,2.910028857901973,1.0,,,0.03674540682414698,0.031804136482939636,6058.688,190500.0,likely_fillable,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,c35fa69c7ae4f996a2f6,TPEX:5426:20240111:closed_limit_up:bfca00b52154,5426,TPEX,2024-01-11,2024-01-11,2024-01-12,30.0,32.15,29.75,32.15,32.1,0.08067226890756296,0.07166666666666655,True,False,False,840860055.0,26910632.0,10969.0,76657.8589661774,0.991869918699187,2.5357156489811077,3.0,,,0.026438569206842923,0.021537485225505443,4154.5809,192900.0,likely_fillable,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,f35627504c39bb07d7f5,TPEX:8096:20240111:closed_limit_up:5e6f63e4d935,8096,TPEX,2024-01-11,2024-01-11,2024-01-12,21.35,22.7,21.25,22.7,22.7,0.06823529411764695,0.06323185011709587,True,False,True,967620659.0,43583179.0,13410.0,72156.64869500372,0.991869918699187,2.2647777400746523,2.0,,,0.03524229074889868,0.030306881057268725,6191.6958,204300.0,likely_fillable,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,a2e28ba7e94c9cbaa045,TPEX:4909:20240115:closed_limit_up:c81d15f2228b,4909,TPEX,2024-01-15,2024-01-15,2024-01-16,39.3,42.15,38.5,42.15,42.1,0.09480519480519467,0.0725190839694656,True,False,False,1018464470.0,24716633.0,12825.0,79412.4343079922,0.9919354838709677,2.563679074433908,1.0,,,0.0,-0.004798,-1011.1785,210750.0,very_fillable_proxy,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trades,,,35adc734,052ccc47ebfaa5d3c950,TPEX:6684:20240115:closed_limit_up:9fbea03c9e51,6684,TPEX,2024-01-15,2024-01-15,2024-01-16,86.0,93.6,85.6,93.6,93.5,0.09345794392523366,0.08837209302325566,True,False,False,1016254462.0,11258951.0,8424.0,120637.9940645774,0.9879032258064516,2.78858158671924,1.0,,,0.002136752136752137,-0.00266957905982906,-499.74520000000007,187200.0,very_fillable_proxy,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
