scenario_id,fill_assumption,min_fill_quality_score,summary_level,market,year,turnover_bucket,day0_volume_shock_bucket,range_pct_bucket,fill_quality_score_bucket,candidate_trades,fillable_trades,skipped_trades,fillable_ratio,raw_win_rate,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,profit_factor,total_net_pnl,max_drawdown,average_turnover_twd,average_volume_ratio_20d,average_range_pct,average_fill_quality_score
optimistic_all_scores,optimistic,,overall,,,,,,,4354,4354,0,1.0,0.7347266881028939,0.6858061552595315,0.016404408693384515,0.017426044487182733,0.011541978096800423,0.012560100339727206,2.055542550014842,4046452.6843899996,-830190.49645,984404412.8417547,6.258321420521935,0.08619214419275402,87.77446026642168
optimistic_score_ge_40,optimistic,40.0,overall,,,,,,,4354,4314,40,0.9908130454754249,0.7338896615669912,0.6849791376912379,0.01620737069270964,0.017373682154098465,0.011345703991174379,0.012507942167379636,2.0354776488175124,3933600.6167499996,-831145.5410500001,991720053.660408,6.215891879312031,0.08698521886919619,88.41562355122856
optimistic_score_ge_50,optimistic,50.0,overall,,,,,,,4354,4298,56,0.9871382636655949,0.7340623545835272,0.6849697533736622,0.016227059488936626,0.017373682154098465,0.01136531425563568,0.012507942167379636,2.039674951380922,3925192.92708,-831145.5410500001,994908993.6563518,6.168397291559658,0.08714395962071222,88.57840856212192
optimistic_score_ge_60,optimistic,60.0,overall,,,,,,,4354,4075,279,0.9359209921910887,0.7347239263803681,0.6851533742331288,0.016159312821105727,0.017366136034732273,0.011297854602945922,0.012500425470332852,2.026449983641379,3679166.16616,-810132.0122500001,1040267382.3334969,5.52316047379474,0.08760011609864402,90.4282208588957
optimistic_score_ge_70,optimistic,70.0,overall,,,,,,,4354,3904,450,0.8966467615985301,0.7387295081967213,0.6898053278688525,0.016285055788683635,0.017609079132328218,0.011423088165539092,0.012742421332791267,2.0382535402574775,3554254.73608,-843760.1292500001,1072514761.409836,5.03119423002021,0.08790034108095675,91.54585040983606
optimistic_score_ge_80,optimistic,80.0,overall,,,,,,,4354,3854,500,0.8851630684428112,0.742086144265698,0.6930461857810067,0.016837982468117792,0.01807504451377885,0.011973892929150149,0.013206569915219629,2.135285924321607,3667948.78118,-792549.5926200002,1083809155.995589,5.015282273594641,0.08851222327386302,91.8149974052932
moderate_all_scores,moderate,,overall,,,,,,,4354,4085,269,0.9382177308222325,0.7544675642594859,0.7062423500611995,0.021386164419305635,0.01910828025477707,0.016504574540499157,0.014235777070063694,3.5176261212430604,5440193.61157,-260368.1540000001,984909542.547858,6.091658063050094,0.08858329275501509,88.60342717258261
moderate_score_ge_40,moderate,40.0,overall,,,,,,,4354,4085,269,0.9382177308222325,0.7544675642594859,0.7062423500611995,0.021386164419305635,0.01910828025477707,0.016504574540499157,0.014235777070063694,3.5176261212430604,5440193.61157,-260368.1540000001,984909542.547858,6.091658063050094,0.08858329275501509,88.60342717258261
moderate_score_ge_50,moderate,50.0,overall,,,,,,,4354,4071,283,0.9350022967386311,0.7543601080815524,0.7059690493736183,0.021378442853719353,0.01910828025477707,0.01649688237554119,0.014235777070063694,3.5157826401162824,5416283.40826,-260368.1540000001,987835213.1292065,6.047049726337688,0.0887532176758268,88.75337754851388
moderate_score_ge_60,moderate,60.0,overall,,,,,,,4354,3867,487,0.8881488286632981,0.7551073183346263,0.7064908197569175,0.021369525179452533,0.01910828025477707,0.01648798860766693,0.014235777070063694,3.504747734727514,5133512.28984,-239354.6252,1031970513.7468321,5.389351778695766,0.08907344248111557,90.53400568916473
moderate_score_ge_70,moderate,70.0,overall,,,,,,,4354,3710,644,0.8520900321543409,0.7584905660377359,0.7105121293800539,0.021513499598146257,0.019434138321743573,0.01663139324435424,0.014560364616427094,3.5441270602097696,4957765.7886500005,-272982.74220000004,1062887288.0280323,4.907135085451953,0.08931320601703813,91.61455525606469
