summary_level,year,market,turnover_bucket,consecutive_limit_up_count,symbol,trades,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,total_net_pnl,profit_factor,max_drawdown,worst_trade,best_trade,average_turnover_twd,average_volume_ratio_20d,average_entry_price,average_shares,total_buy_notional,trade_share,abs_net_pnl_share
overall,,,,,,5866,0.6953631094442551,0.0193115934056297,0.01952370837168685,0.014437940019161264,0.01464958543274564,6820037.067809999,2.5025134614643827,-403616.38501999853,-71784.971,33628.117,1054117547.2846915,6.915810654317419,47.57118820320491,2379.1339924991476,467368150.0,,
by_year,2023,,,,,1456,0.6428571428571429,0.008902604963191164,0.014941319045796658,0.004068837579499403,0.010085062842837096,535944.2506400001,1.268326632164765,-370220.0893999995,-71784.971,33628.117,775960481.4917582,7.773106801909274,47.058489010989014,2368.131868131868,116625160.0,,
by_year,2024,,,,,1768,0.7364253393665159,0.02242986483674387,0.02242742361908201,0.017544164600587137,0.01754197909439121,2510027.83751,3.1037340277453693,-213914.89168000035,-53883.0902,23964.4979,952571291.6951357,7.671871483054546,46.04226809954752,2511.31221719457,142505300.0,,
by_year,2025,,,,,1432,0.710195530726257,0.020040443798597898,0.01904761904761905,0.015164298097810548,0.01417535238095238,1688077.80334,3.45972839670016,-105358.46820999996,-9923.0877,9481.21,1123670130.6815643,6.532267547333732,49.398414804469276,2243.7150837988825,112874980.0,,
by_year,2026,,,,,1210,0.6809917355371901,0.026417931851291005,0.02191782649888576,0.021516835327889318,0.017034368893366604,2085987.17632,4.149554807281244,-64292.1643200001,-22165.69305,18229.960049999987,1454887107.823967,5.233409822168373,48.259644628099174,2359.504132231405,95362710.0,,
by_market,,TPEX,,,,2342,0.7233134073441503,0.02567082735425414,0.021690480931992433,0.020772725471360363,0.016807909746838594,3851239.2704999996,5.885321558522376,-11393.012949999887,-10131.9039,23964.4979,637627449.1131512,6.83316890844949,51.34094790777114,1943.6379163108454,183957850.0,,
by_market,,TWSE,,,,3524,0.6767877412031782,0.015085337472690299,0.01811777006449581,0.010227932207285472,0.01324912887901434,2968797.7973100003,1.7915196765408714,-402075.3144200003,-71784.971,33628.117,1330910909.9174235,6.97073317668481,45.065859818388205,2668.5584562996596,283410300.0,,
by_turnover_bucket,,,100m_200m,,,1533,0.6757990867579908,0.021549203907117388,0.019064124783362217,0.016666942392235335,0.014191793760831888,2068928.0636399998,2.7995047854305866,-73803.82964999974,-48280.9025,17999.647,143668217.95955643,8.119521807135577,41.34848662752772,2863.013698630137,124677000.0,,
by_turnover_bucket,,,200m_500m,,,1800,0.6827777777777778,0.019771209698867472,0.02092747795274023,0.014895605393639953,0.016047881716202493,2203240.1433699997,2.399908293681156,-203149.02536000032,-53883.0902,33628.117,321715227.36388886,7.1276770857817136,45.278422222222225,2477.777777777778,143926290.0,,
by_turnover_bucket,,,500m_1b,,,1112,0.6888489208633094,0.016971438641043887,0.0192923549092704,0.012106958127416075,0.014419134017479157,1102650.22885,2.261655920797601,-165917.13130000007,-44491.151,17939.76615,707120300.5143884,6.690526386381624,48.54946043165468,2254.4964028776976,88242410.0,,
by_turnover_bucket,,,>=1b,,,1421,0.7375087966220971,0.018146699578473317,0.01910828025477707,0.013277625840158068,0.014235777070063694,1445218.63195,2.534938846426241,-97711.95421999996,-71784.971,18365.2211,3235612224.3581986,5.525147270811885,56.423082336382826,1829.6973961998592,110522450.0,,
by_consecutive_limit_up_count,,,,1,,4354,0.6858061552595315,0.016404408693384515,0.017426044487182733,0.011541978096800423,0.012560100339727206,4046452.68439,2.0555425500148425,-442198.8233199995,-71784.971,33628.117,984404412.8417547,6.258321420521935,48.17379191548002,2366.5594855305467,346852710.0,,
by_consecutive_limit_up_count,,,,2,,1066,0.7279549718574109,0.026777551897040442,0.025253851540616247,0.02187511256758735,0.020357386773459385,1892846.61988,5.208646948265699,-25514.833120000316,-12815.4307,18229.960049999987,1261961137.8395872,8.497017348087647,46.46905253283302,2409.0056285178234,85173580.0,,
by_consecutive_limit_up_count,,,,3,,290,0.7310344827586207,0.030756209904493268,0.030053763440860214,0.025838259457422522,0.025138583817204303,600981.17949,5.179782363879074,-12022.460099999967,-9564.13665,9195.3343,1122765624.310345,9.18663355564253,45.09762068965517,2427.5862068965516,23072660.0,,
by_consecutive_limit_up_count,,,,4,,105,0.7047619047619048,0.029322533246711597,0.03305785123966942,0.024410204689582663,0.02813095867768595,197577.97815000004,4.346921150964297,-14305.532000000007,-9658.94875,9782.3877,1595519738.4571428,9.898345150472966,42.43838095238095,2504.7619047619046,8262500.0,,
by_consecutive_limit_up_count,,,,5,,37,0.5135135135135135,0.01570076648224404,0.004878048780487805,0.01084137869564548,6.102926829268263e-05,33236.17660000002,1.647845934580136,-14773.088050000006,-9244.43505,9095.2444,1396446976.5675676,11.711749225827287,43.03108108108108,2351.3513513513512,2934200.0,,
by_consecutive_limit_up_count,,,,6,,11,0.8181818181818182,0.046725387026605426,0.04436860068259386,0.04174520474258869,0.039397607508532426,35004.65589999999,21.75307387734133,-1255.569599999999,-1255.5696,9386.397899999985,591650367.8181819,9.256321509664385,46.08181818181818,2272.7272727272725,863300.0,,
by_consecutive_limit_up_count,,,,7,,2,1.0,0.060082782468978406,0.060082782468978406,0.05505051970013186,0.05505051970013186,7115.140600000001,inf,0.0,2421.556,4693.5846,263535172.0,4.651435754892284,49.05,1500.0,136400.0,,
by_consecutive_limit_up_count,,,,8,,1,1.0,0.0989010989010989,0.0989010989010989,0.09371748351648353,0.09371748351648353,6822.6328,inf,0.0,6822.6328,6822.6328,270779811.0,13.686238804341306,36.4,2000.0,72800.0,,
