summary_level,year,market,turnover_bucket,consecutive_limit_up_count,symbol,trades,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,total_net_pnl,profit_factor,max_drawdown,worst_trade,best_trade,average_turnover_twd,average_volume_ratio_20d,average_entry_price,average_shares,total_buy_notional,trade_share,abs_net_pnl_share
overall,,,,,,4354,0.6858061552595315,0.016404408693384515,0.017426044487182733,0.011541978096800423,0.012560100339727206,4046452.68439,2.0555425500148425,-442198.8233199995,-71784.971,33628.117,984404412.8417547,6.258321420521935,48.17379191548002,2366.5594855305467,346852710.0,,
by_year,2023,,,,,1153,0.6261925411968777,0.004179625974203007,0.013440860215053764,-0.0006359970457283931,0.008590454301075268,-6800.11176,0.9962629621161774,-589494.36881,-71784.971,33628.117,777884424.2697312,7.313611885217236,47.66067649609714,2368.603642671292,92370210.0,,
by_year,2024,,,,,1290,0.7162790697674418,0.018867461329308468,0.020249389259601357,0.013995560603160685,0.01537243689087817,1453409.69563,2.357696889750058,-246274.04898000008,-53883.0902,23964.4979,942995870.8806201,6.906244838778315,46.63482945736434,2515.5038759689924,103776960.0,,
by_year,2025,,,,,1056,0.7035984848484849,0.017895426112775052,0.016988508159731387,0.013027646957642143,0.012124269966416598,1055897.16616,3.0128772202452887,-104488.64510999998,-9872.32305,9481.21,1016699667.7736742,5.672326836060183,50.36991477272728,2200.757575757576,83119730.0,,
by_year,2026,,,,,855,0.6982456140350877,0.027332270892212556,0.022727272727272728,0.022427612703914024,0.01784065909090909,1543945.9343599998,4.686521643080227,-64292.1643200001,-22165.69305,17999.647,1285493040.6140351,4.581408164202873,48.475286549707604,2343.8596491228072,67585810.0,,
by_market,,TPEX,,,,1670,0.7191616766467066,0.024195088173674453,0.0199626400996264,0.01930274396728836,0.015086805765877957,2562523.5043,5.731931405804377,-12101.610549999867,-10131.9039,23964.4979,591012893.4838324,6.039099325033369,52.216257485029935,1903.5928143712574,131009800.0,,
by_market,,TWSE,,,,2684,0.6650521609538003,0.011557003800655679,0.016187780878634227,0.006713185621496823,0.01132666472098843,1483929.18009,1.4507696329509492,-439719.2340700002,-71784.971,33628.117,1229174844.0368853,6.39472264983114,45.658546944858415,2654.6199701937408,215842910.0,,
by_turnover_bucket,,,100m_200m,,,1179,0.6751484308736218,0.019350492236193756,0.01818181818181818,0.014476738227099087,0.013312927272727272,1384073.7253999999,2.4277902891089838,-96993.47237000056,-48280.9025,17999.647,143341703.55640373,7.581945638266395,41.884410517387614,2887.192536047498,95968090.0,,
by_turnover_bucket,,,200m_500m,,,1362,0.6776798825256976,0.01701839840546612,0.0187598980702429,0.012153369069107252,0.01388875322766702,1362323.51964,2.023595721724149,-194775.83525999985,-53883.0902,33628.117,319897478.23715127,6.246721367972734,46.4176945668135,2408.957415565345,108678420.0,,
by_turnover_bucket,,,500m_1b,,,826,0.6767554479418886,0.013509234179151038,0.01714361042317683,0.008658185080993775,0.012278767486136863,577804.74087,1.7805744615191117,-179239.66205000007,-44491.151,17939.76615,708126757.087167,6.02613115862945,49.570847457627124,2192.4939467312347,65123550.0,,
