date,start_equity,equity_after_exits,end_equity,cash,realized_pnl,exit_cash_flow,entry_costs_paid,gross_entry_notional,positions_entered,open_positions_end,gross_exposure_end,capital_utilization,daily_return
2024-10-01,1000000.0,1000000.0,999394.54125,345644.54125000007,0.0,0.0,605.45875,653750.0,4,4,653750.0,0.65375,-0.0006054587499999542
2024-11-11,999394.54125,1067536.6734500001,1067536.6734500001,1067536.6734500001,67536.67345,721892.1322000001,0.0,0.0,0,0,0.0,0.0,0.06818341444488074
2024-11-12,1067536.6734500001,1067536.6734500001,1067380.17525,895580.1752500001,0.0,0.0,156.4982,171800.0,1,1,171800.0,0.16093123943441418,-0.00014659749298751024
2024-11-13,1067380.17525,1074880.40525,1074708.32405,885908.32405,7343.7318,179300.22999999998,172.08120000000002,188800.0,1,1,188800.0,0.1756474479187181,0.006865547037430586
2024-11-14,1074708.32405,1083337.89225,1083337.89225,1083337.89225,8457.487,197429.56819999998,0.0,0.0,0,0,0.0,0.0,0.008029683968092671
2024-11-19,1083337.89225,1083337.89225,1083173.18285,902573.18285,0.0,0.0,164.70940000000002,180600.0,1,1,180600.0,0.16670699076620432,-0.00015203880633951616
2024-11-20,1083173.18285,1091834.72285,1091640.06005,874440.06005,8496.8306,189261.54,194.6628,217200.0,1,1,217200.0,0.19893120767678651,0.007816734511209233
2024-11-21,1091640.06005,1088401.9548499999,1087900.0341999996,531050.0341999998,-3432.768,213961.8948,501.9206500000001,556850.0,3,3,556850.0,0.5116216463215957,-0.0034260613794523387
2024-11-22,1087900.0341999996,1090959.7187999997,1090786.9573999997,899686.9573999997,2557.7639499999705,559909.6846,172.7614,191100.0,1,1,191100.0,0.17516687069821452,0.0026536658785225598
2024-11-25,1090786.9573999997,1093877.8098499996,1093702.4915999996,899452.4915999996,2918.09105,194190.85244999998,175.31825,194250.0,1,1,194250.0,0.17757924902657726,0.0026728722599960175
2024-11-26,1093702.4915999996,1095685.0760999997,1095511.9564999999,905111.9564999997,1807.2662500000001,196232.5845,173.11960000000002,190400.0,1,1,190400.0,0.1737725594271239,0.0016544397712334735
2024-11-27,1095511.9564999999,1102541.1246999998,1102230.7729999998,758930.7729999998,6856.0486,197429.1682,310.35170000000005,343300.0,2,2,343300.0,0.31137160538425407,0.006133038037727578
2024-11-28,1102230.7729999998,1107767.0681999996,1107767.0681999996,1107767.0681999996,5225.943499999999,348836.2952,0.0,0.0,0,0,0.0,0.0,0.005022809501980641
2024-11-29,1107767.0681999996,1107767.0681999996,1107579.4606999997,902579.4606999996,0.0,0.0,187.60750000000002,205000.0,1,1,205000.0,0.1850569545573354,-0.00016935645171756164
2024-12-02,1107579.4606999997,1119981.8164499996,1119981.8164499996,1119981.8164499996,12214.74825,217402.35575,0.0,0.0,0,0,0.0,0.0,0.011197711938574217
2024-12-04,1119981.8164499996,1119981.8164499996,1119293.6042499996,361493.6042499996,0.0,0.0,688.2121999999999,757800.0,4,4,757800.0,0.6766181279638938,-0.0006144851549299002
2024-12-05,1119293.6042499996,1144037.4998499998,1143866.5100499997,953666.5100499998,24055.68340000003,782543.8956,170.9898,190200.0,1,1,190200.0,0.16625329154414784,0.021953941045223413
2024-12-06,1143866.5100499997,1143124.9202499997,1143124.9202499997,1143124.9202499997,-912.5796,189458.41019999998,0.0,0.0,0,0,0.0,0.0,-0.0006483184825190058
2024-12-19,1143124.9202499997,1143124.9202499997,1142935.9090499997,934135.9090499997,0.0,0.0,189.01120000000003,208800.0,1,1,208800.0,0.1826572024642204,-0.00016534605855567097
2024-12-20,1142935.9090499997,1147302.8230499998,1147302.8230499998,1147302.8230499998,4177.9028,213166.914,0.0,0.0,0,0,0.0,0.0,0.003820786419800104
2024-12-23,1147302.8230499998,1147302.8230499998,1146969.1564499997,778569.1564499998,0.0,0.0,333.6666,368400.0,2,2,368400.0,0.3211009269729174,-0.0002908269667750707
2024-12-24,1146969.1564499997,1155396.6397499999,1155240.09405,980940.0940499998,8093.8167,376827.4833,156.5457,174300.0,1,1,174300.0,0.150857284852165,0.0072111246876069846
2024-12-25,1155240.09405,1153962.6877499998,1153423.8916999998,556973.8916999998,-1433.952,173022.5937,538.7960500000002,596450.0,3,3,596450.0,0.516871131390704,-0.00157214276006723
