initial_capital_twd,max_gross_exposure_pct,max_positions_per_day,sizing_method,fixed_notional_twd,ranking_method,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,not_bear_regime,avoid_weak_sectors,sector_allowlist,random_seed,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score
1000000.0,1.0,5,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,374,0.2774480712166172,1527577.8457000004,2527577.8457000004,1.5275778457000002,0.8615981239409152,-30197.058299999917,-0.017883994672501406,0.003805696462976548,0.001100424391472954,7.830728936605467,0.7486631016042781,0.7687861271676301,0.0197222812324688,0.017624366169658366,6.41541298878278,2.161849710982659,0.27435370570463435,0,0,848,108,18,1.2719373805565994
1000000.0,1.0,5,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,366,0.271513353115727,1525194.5813500034,2525194.5813500034,1.5251945813500032,0.8604215617608792,-27260.762749999994,-0.018013919551612953,0.003802067199313271,0.0008873778700730917,7.792601637532229,0.7513661202185792,0.7630057803468208,0.01999309326593522,0.018546386614340174,6.521767041582306,2.115606936416185,0.27340176913024655,0,0,853,103,26,1.2681960191732569
1000000.0,1.0,5,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,379,0.2701354240912331,1521846.8138500024,2521846.8138500024,1.5218468138500025,0.8587682280517113,-27260.762749999994,-0.0179359709448247,0.0036914094808641602,0.0006979764415533385,7.674195069772173,0.7440633245382586,0.7555555555555555,0.019326333501005547,0.017408073248407645,6.04891804654611,2.1055555555555556,0.2725278932440803,0,0,886,112,26,1.260523538477031
1000000.0,1.0,5,fixed,300000.0,composite_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,367,0.27225519287833827,1508029.8417500039,2508029.841750004,1.508029841750004,0.8519368815909156,-27260.762749999994,-0.01801906469275333,0.003774145837501544,0.0008876003257805021,7.747580789452151,0.7493188010899182,0.7630057803468208,0.019708144835442136,0.01853672327964875,6.3700396708174685,2.121387283236994,0.2744321674589043,0,0,854,106,21,1.2575319080049805
1000000.0,1.0,5,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,386,0.2751247327156094,1506723.0552000003,2506723.0552000003,1.5067230552000002,0.8512901423944617,-30197.058299999917,-0.01781151692944197,0.003667164236871351,0.0009680546887174124,7.676488733811201,0.7383419689119171,0.7611111111111111,0.018840058959882472,0.016074896391152442,5.804199246544123,2.1444444444444444,0.27409321394726316,0,0,882,117,18,1.2537212938918618
1000000.0,1.0,5,fixed,300000.0,composite_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,380,0.27084818246614395,1503485.5870500011,2503485.587050001,1.503485587050001,0.8496874141152366,-27260.762749999994,-0.017941071648589827,0.0036623217121663013,0.0006981717583935954,7.627115661325959,0.7421052631578947,0.7555555555555555,0.019050605354162402,0.017323852995885236,5.912897428015407,2.111111111111111,0.2733311369043029,0,0,887,115,21,1.249157479603854
1000000.0,1.0,5,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,489,0.36275964391691395,1416121.7908000043,2416121.7908000043,1.416121790800004,0.8061753376387732,-27255.635350000113,-0.01808343286304517,0.0036196992231853943,0.0009035038756346481,7.7138857650830115,0.7505112474437627,0.7630057803468208,0.02010147907841585,0.0185560499490316,6.745750610323138,2.8265895953757227,0.2553605533772839,0,0,583,201,75,1.2191038738530926
1000000.0,1.0,5,fixed,200000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,511,0.36421952957947257,1419817.6537000048,2419817.653700005,1.419817653700005,0.8080264857491113,-27255.635350000113,-0.01805147925041007,0.003525512463737489,0.0008677574271926947,7.6091565003384405,0.7436399217221135,0.7555555555555555,0.019372163770398014,0.01841408004052685,6.260463312216787,2.838888888888889,0.25528562930475573,0,0,602,215,75,1.2158805240987753
1000000.0,1.0,5,fixed,200000.0,composite_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,491,0.3642433234421365,1388662.4483500044,2388662.4483500044,1.3886624483500043,0.7923923854325294,-27255.635350000113,-0.01808886865734356,0.003572978673757799,0.0009037402196981903,7.627364903251811,0.7474541751527495,0.7630057803468208,0.019587024482786035,0.018965840954274355,6.414158196509491,2.838150289017341,0.25574644436322913,0,0,574,210,73,1.201140528610662
1000000.0,1.0,5,fixed,200000.0,composite_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,512,0.3649322879543835,1389542.220250005,2389542.220250005,1.389542220250005,0.792834786068247,-27255.635350000113,-0.018056878040733772,0.0034754816139132365,0.0008680127764741918,7.51471026979512,0.740234375,0.7555555555555555,0.018871593500039557,0.01841408004052685,5.963952492733513,2.8444444444444446,0.2550493496743674,0,0,590,228,73,1.1960350893330742
