symbol,name,sector,industry,trades,avg_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,max_drawdown,first_trade_date,last_trade_date,active_quarters,max_trades_single_quarter,trade_share,pnl_share
4931,新盛力,Technology/Electronics,Computer/Peripheral,45,0.027504457794154287,0.028185476821192,0.8888888888888888,112.39762610488688,104968.98049999999,-942.2909999999974,2024-11-12,2025-06-25,3,20,0.03207412687099073,0.05407105380324573
8096,擎亞,Technology/Electronics,Electronic Distribution,60,0.02335275368410923,0.028576354822302752,0.8333333333333334,14.952191285910244,87997.32850000002,-4627.761499999993,2025-03-04,2026-03-18,4,30,0.042765502494654314,0.04532870816884223
5351,鈺創,Technology/Electronics,Semiconductor,43,0.02779436307783599,0.0185560499490316,0.8837209302325582,7.085913291090891,82096.00949999999,-13489.513500000001,2025-08-08,2026-03-18,3,25,0.030648610121168925,0.04228885262638397
3379,彬台,Industrials/Other,Electric Machinery,25,0.045529274838689876,0.0448003900414937,1.0,inf,81887.8995,0.0,2025-01-14,2025-03-04,1,25,0.01781895937277263,0.04218165212816637
3297,杭特,Technology/Electronics,Optoelectronics,28,0.036279094530994586,0.0304176919191919,1.0,inf,81411.20280000001,0.0,2025-05-23,2025-08-20,2,25,0.019957234497505347,0.04193609870094671
5328,華容,Technology/Electronics,Electronic Components,24,0.037909062780281895,0.0566635510638297,1.0,inf,78057.5475,0.0,2024-12-04,2026-02-24,2,20,0.017106200997861726,0.04020858191170019
4903,聯光通,Technology/Electronics,Communications/Internet,19,0.04320723195287619,0.0218357165775401,1.0,inf,71497.70569999999,0.0,2024-10-01,2026-03-23,3,10,0.0135424091233072,0.036829511664289515
6140,訊達電腦,Technology/Electronics,Information Services,23,0.03473895407104758,0.0352670887656033,0.6521739130434783,8.108403316011398,62734.74359999991,-5363.313000000075,2025-02-05,2025-07-14,2,20,0.01639344262295082,0.03231558199737322
8043,蜜望實,Technology/Electronics,Electronic Components,15,0.04938334090268157,0.0355425389408099,1.0,inf,58409.34849999999,0.0,2025-11-14,2026-01-14,2,10,0.010691375623663579,0.030087507855294737
3709,鑫聯大投控,Technology/Electronics,Computer/Peripheral,20,0.039909580693648375,0.03199295761371185,1.0,inf,58044.70050000002,0.0,2025-04-23,2026-02-25,3,10,0.014255167498218105,0.029899672348716256
4939,亞電,Technology/Electronics,Electronic Components,25,0.026075960686282536,0.0260092474226804,1.0,inf,55462.692999999934,0.0,2025-11-25,2026-01-20,2,15,0.01781895937277263,0.02856964260290112
5340,建榮,Technology/Electronics,Electronic Components,20,0.035302873725381996,0.01782405304079955,1.0,inf,53694.70700000001,0.0,2025-11-12,2026-01-19,2,10,0.014255167498218105,0.027658927211801545
3323,加百裕,Technology/Electronics,Computer/Peripheral,32,0.018131980639164463,0.0219071206434316,0.6875,10.864309949360175,46728.05989999992,-4737.083500000001,2024-11-21,2025-12-18,4,12,0.022808267997148968,0.024070305617326492
8088,品安,Technology/Electronics,Semiconductor,25,0.021505660684016964,0.0265027707948244,1.0,inf,45925.835249999924,0.0,2025-03-17,2026-01-08,4,10,0.01781895937277263,0.023657067992212667
4541,晟田,Industrials/Other,Other,23,0.02810091999765717,0.0247891584158415,1.0,inf,39483.653999999995,0.0,2025-03-19,2025-08-29,3,15,0.01639344262295082,0.020338606411279173
4510,高鋒,Industrials/Other,Electric Machinery,23,0.025667106965794474,0.0346701528301886,0.8260869565217391,65.38761396805425,38973.9,-605.3011999999999,2024-11-26,2025-04-30,3,10,0.01639344262295082,0.020076024686381696
6244,茂迪,Technology/Electronics,Optoelectronics,20,0.02199689896597575,0.032818657222026704,0.75,4.368240073811959,37371.368,-11095.221000000001,2025-12-23,2026-03-02,2,15,0.014255167498218105,0.01925053706536567
6265,方土昶,Technology/Electronics,Electronic Distribution,15,0.027736329703324035,0.0479868393162393,0.6666666666666666,4.001326622025191,37367.20825,-12450.2305,2025-12-30,2026-03-16,2,10,0.010691375623663579,0.019248394317432072
8042,金山電,Technology/Electronics,Electronic Components,20,0.03311312055934929,0.02544172050079275,1.0,inf,36054.651999999995,0.0,2025-11-21,2026-01-14,2,10,0.014255167498218105,0.0185722774372311
8234,新漢,Technology/Electronics,Computer/Peripheral,24,0.01944995830092142,0.0171833228803716,1.0,inf,35756.410099999994,0.0,2024-12-31,2025-06-26,3,15,0.017106200997861726,0.018418648681912453
6175,立敦,Technology/Electronics,Electronic Components,10,0.04086645138086635,0.04086645138086635,1.0,inf,35677.91850000001,0.0,2025-10-23,2025-10-27,1,10,0.007127583749109052,0.01837821651322332
8111,立碁,Technology/Electronics,Optoelectronics,26,0.020394951446446756,0.01608629258152145,1.0,inf,35431.63440000004,0.0,2024-10-01,2025-11-05,4,10,0.018531717747683536,0.018251351978971868
6530,創威,Technology/Electronics,Communications/Internet,19,0.024664721950490468,-0.0119900649819494,0.47368421052631576,2.9441051772467484,35248.0412,-18130.727499999997,2024-10-01,2026-03-23,3,10,0.0135424091233072,0.018156780442239527
6148,驊宏資,Technology/Electronics,Information Services,28,0.01879101506257597,0.0230799612486544,0.6428571428571429,6.445071270264051,34820.59369999998,-4905.104,2025-02-07,2025-08-21,3,15,0.019957234497505347,0.017936595996696933
1815,富喬,Technology/Electronics,Electronic Components,32,0.0128279670470466,0.0152699688644688,0.84375,15.517123329733765,34394.99205,-2369.2704999999987,2024-11-21,2025-06-04,3,12,0.022808267997148968,0.017717362375428227
4973,廣穎電通,Technology/Electronics,Semiconductor,10,0.03299036063305045,0.03299036063305045,1.0,inf,31416.688000000002,0.0,2026-01-07,2026-01-08,1,10,0.007127583749109052,0.01618319449304154
3162,精確,Industrials/Other,Electric Machinery,31,0.014470769039452467,0.0172396327433628,0.8387096774193549,13.153321653721541,27033.71500000001,-2224.389,2025-03-17,2026-01-23,5,10,0.022095509622238062,0.01392546113436447
8064,東捷,Technology/Electronics,Optoelectronics,24,0.016445865135111117,-0.0080216278317152,0.4166666666666667,3.6202056520478454,26639.83,-5776.457000000002,2024-12-24,2026-03-26,2,20,0.017106200997861726,0.013722565222392723
6425,易發,Industrials/Other,Electric Machinery,4,0.0881714266666666,0.0881714266666666,1.0,inf,26451.428,0.0,2024-10-01,2024-10-01,1,4,0.002851033499643621,0.01362551660259938
6127,九豪,Technology/Electronics,Electronic Components,14,0.019917380827560307,0.0180134732824427,0.6428571428571429,8.945388966591002,26072.051,-3281.4065000000005,2024-12-04,2026-03-19,3,5,0.009978617248752673,0.013430093973161592
5498,凱崴,Technology/Electronics,Electronic Components,10,0.03143502034525279,0.0314350203452528,0.5,17.02060289257429,25827.262500000004,-1612.1280000000006,2025-12-22,2026-03-18,2,5,0.007127583749109052,0.013303999844297346
5201,凱衛,Technology/Electronics,Information Services,15,0.029571896045658592,0.032759906557377,1.0,inf,24779.840999999997,0.0,2025-04-25,2025-05-06,1,15,0.010691375623663579,0.012764457743274685
3221,台嘉碩,Technology/Electronics,Communications/Internet,10,0.03220205619450506,0.03220205619450505,0.5,7.41886118873763,23890.237500000003,-3721.881000000001,2026-03-24,2026-03-27,1,10,0.007127583749109052,0.01230620999729362
3624,光頡,Technology/Electronics,Electronic Components,15,0.029229167422972456,0.0344320051369863,0.6666666666666666,16.384770263830074,23694.977000000006,-1540.1579999999994,2025-11-19,2026-01-02,2,10,0.010691375623663579,0.012205628464055346
6217,中探針,Technology/Electronics,Electronic Components,20,0.014168629648474925,0.0184432508518214,0.75,6.836420083542772,23467.162499999995,-4020.8145000000004,2025-10-03,2026-01-26,2,15,0.014255167498218105,0.012088277890314561
6227,茂綸,Technology/Electronics,Electronic Distribution,9,0.027741890677495915,0.0217919650924024,1.0,inf,23235.019,0.0,2024-12-23,2025-03-12,2,5,0.006414825374198147,0.011968697385495107
4991,環宇-KY,Technology/Electronics,Semiconductor,15,0.015748427168224534,0.0024501361746361,1.0,inf,23213.809999999998,0.0,2025-05-14,2025-06-16,1,15,0.010691375623663579,0.011957772320064819
5386,青雲,Technology/Electronics,Computer/Peripheral,5,0.0467970835095137,0.0467970835095137,1.0,inf,22135.0205,0.0,2026-01-30,2026-01-30,1,5,0.003563791874554526,0.011402072104448487
8074,鉅橡,Technology/Electronics,Electronic Components,5,0.051320366197183095,0.0513203661971831,1.0,inf,21862.476000000002,0.0,2025-12-16,2025-12-16,1,5,0.003563791874554526,0.01126168045490514
4908,前鼎,Technology/Electronics,Communications/Internet,5,0.0440712557411273,0.0440712557411273,1.0,inf,21110.131500000003,0.0,2026-03-02,2026-03-02,1,5,0.003563791874554526,0.010874136823021662
3128,昇銳,Technology/Electronics,Optoelectronics,5,0.0448966175166297,0.0448966175166297,1.0,inf,20248.374499999998,0.0,2025-06-30,2025-06-30,1,5,0.003563791874554526,0.010430233215590475
8358,金居,Technology/Electronics,Electronic Components,6,0.050578504324278246,0.05057850432427825,1.0,inf,19615.7736,0.0,2025-07-09,2025-07-10,1,6,0.0042765502494654314,0.010104371259639769
6284,佳邦,Technology/Electronics,Electronic Components,10,0.0188195996767214,0.0188195996767214,0.5,17.952484504876757,17641.603,-1040.65,2025-10-27,2026-01-14,2,5,0.007127583749109052,0.0090874471719624
6763,綠界科技*,Technology/Electronics,Digital/Cloud,10,0.0243470915696191,0.024347091569619103,1.0,inf,17547.525999999998,0.0,2025-02-10,2025-06-27,2,5,0.007127583749109052,0.009038986736275421
6126,信音,Technology/Electronics,Electronic Components,5,0.0441472018592297,0.0441472018592297,1.0,inf,16621.4215,0.0,2026-01-21,2026-01-21,1,5,0.003563791874554526,0.00856193679248819
4577,達航科技,Technology/Electronics,Other Electronics,5,0.0558342347826087,0.0558342347826087,1.0,inf,16052.342499999999,0.0,2025-11-26,2025-11-26,1,5,0.003563791874554526,0.008268795894284484
5251,天鉞電,Technology/Electronics,Optoelectronics,8,0.034884804580337825,0.0403215574912892,1.0,inf,15856.4139,0.0,2025-06-17,2025-08-20,2,5,0.005702066999287242,0.008167870212985763
5392,能率,Technology/Electronics,Optoelectronics,14,0.012504197214343737,0.0117400753512132,0.6428571428571429,13.029283738999931,14515.700599999996,-1206.6970000000001,2024-12-25,2025-12-04,3,5,0.009978617248752673,0.007477249225397652
3230,錦明,Technology/Electronics,Optoelectronics,12,0.017027002069160926,0.0155305918367346,1.0,inf,13770.8084,0.0,2024-12-23,2025-07-30,3,5,0.008553100498930863,0.007093544382005199
5443,均豪,Technology/Electronics,Semiconductor,10,0.01466565832672575,0.01466565832672575,1.0,inf,12805.037999999999,0.0,2025-06-10,2025-06-23,1,10,0.007127583749109052,0.0065960619542323375
3630,新鉅科,Technology/Electronics,Optoelectronics,12,0.013448225340297458,0.0068864692082111,1.0,inf,12304.9832,0.0,2024-12-25,2026-01-26,3,5,0.008553100498930863,0.006338476428807793
2070,精湛,Industrials/Other,Electric Machinery,4,0.0304716706008583,0.0304716706008583,1.0,inf,11359.8388,0.0,2024-11-27,2024-11-27,1,4,0.002851033499643621,0.005851618754656748
3294,英濟,Technology/Electronics,Electronic Components,21,0.008069383682150058,0.0032092427652733,0.8571428571428571,12.147911204319453,11351.033949999997,-1018.2206999999999,2025-05-22,2025-08-04,2,15,0.01496792587312901,0.005847083247921216
3434,哲固,Technology/Electronics,Optoelectronics,20,0.013346360147099376,0.0415085847500464,0.75,1.2074233809301105,10291.40199999997,-49615.438500000004,2025-03-28,2025-05-20,2,15,0.014255167498218105,0.005301251365900701
6173,信昌電,Technology/Electronics,Electronic Components,16,0.012142309306545574,0.0017039647519582,0.8125,3.5283316122373933,10228.0811,-4045.3875000000003,2025-09-18,2026-01-14,3,6,0.011404133998574484,0.005268633846187167
6485,點序,Technology/Electronics,Semiconductor,5,0.0247891584158415,0.0247891584158415,1.0,inf,10014.82,0.0,2025-10-13,2025-10-13,1,5,0.003563791874554526,0.005158779941182924
6163,華電網,Technology/Electronics,Information Services,20,0.0070579725326578215,0.008930732464154049,0.5,1.5912828453955887,9061.565999999999,-10971.9305,2025-12-23,2026-03-20,2,15,0.014255167498218105,0.004667744893718027
3663,鑫科,Technology/Electronics,Other Electronics,15,0.008125553150625032,0.0126774561403508,0.6666666666666666,23.510841977273834,8682.949499999999,-385.7230000000001,2025-12-29,2026-03-12,2,10,0.010691375623663579,0.004472714008929196
3580,友威科,Technology/Electronics,Other Electronics,5,0.017840659090909,0.017840659090909,1.0,inf,7849.89,0.0,2025-02-19,2025-02-19,1,5,0.003563791874554526,0.004043592902567637
6147,頎邦,Technology/Electronics,Semiconductor,20,0.006253193827715125,-0.0110822551517362,0.25,1.5621971388492208,7321.774999999965,-8571.807999999999,2026-03-12,2026-03-26,1,20,0.014255167498218105,0.0037715531586043904
4303,信立,Materials,Plastics,9,0.01424335722819591,-0.004798,0.4444444444444444,5.338861026181723,6901.119000000001,-1590.5370000000003,2024-12-02,2025-02-21,2,5,0.006414825374198147,0.0035548671138289412
3511,矽瑪,Technology/Electronics,Electronic Components,8,0.010375602874510998,0.010375602874510998,0.5,1.6604079678503274,6759.031199999998,-10234.630000000001,2024-11-19,2024-11-21,1,8,0.005702066999287242,0.0034816756143784444
5202,力新,Technology/Electronics,Information Services,5,0.013937442006269502,0.0139374420062695,1.0,inf,6669.066000000001,0.0,2025-03-26,2025-03-26,1,5,0.003563791874554526,0.0034353332268802672
5347,世界,Technology/Electronics,Semiconductor,10,0.0078112945557782,0.007811294555778201,0.5,2.003951176793174,6403.809000000001,-6378.606,2025-02-21,2025-04-11,2,5,0.007127583749109052,0.003298695474942803
3205,佰研,Healthcare,Biotechnology/Medical,5,0.0235003238636363,0.0235003238636363,1.0,inf,6204.0855,0.0,2025-06-23,2025-06-23,1,5,0.003563791874554526,0.0031958149852702126
5371,中光電,Technology/Electronics,Optoelectronics,8,0.009159763194102487,-0.0013788890160183,0.375,10.510951757832428,5731.057,-602.5745000000004,2025-02-18,2025-07-30,2,5,0.005702066999287242,0.0029521511014053156
8086,宏捷科,Technology/Electronics,Semiconductor,3,0.0219976994152046,0.0219976994152046,1.0,inf,5642.409900000001,0.0,2025-07-16,2025-07-16,1,3,0.0021382751247327157,0.00290648768645387
5309,系統電,Technology/Electronics,Electronic Components,4,0.0145769622425629,0.0145769622425629,1.0,inf,5096.106,0.0,2024-11-21,2024-11-21,1,4,0.002851033499643621,0.002625078574646568
1595,川寶,Technology/Electronics,Semiconductor,4,0.0218357165775401,0.0218357165775401,1.0,inf,4899.9348,0.0,2024-12-04,2024-12-04,1,4,0.002851033499643621,0.002524027926547273
5475,德宏,Technology/Electronics,Electronic Components,15,0.004333854807385967,-0.004798,0.3333333333333333,1.8975021318353587,4858.337000000001,-3417.208,2025-10-29,2025-12-09,1,15,0.010691375623663579,0.0025026002926769354
6418,詠昇,Technology/Electronics,Electronic Components,3,0.0158679958506224,0.0158679958506224,1.0,inf,4589.0244,0.0,2025-09-05,2025-09-05,1,3,0.0021382751247327157,0.00236387344199087
1584,精剛,Industrials/Other,Other,5,0.0079930240770465,0.0079930240770465,1.0,inf,3734.7405000000003,0.0,2025-03-24,2025-03-24,1,5,0.003563791874554526,0.0019238193374342709
1569,濱川,Technology/Electronics,Computer/Peripheral,17,0.003328713221823242,-0.0101176315086782,0.47058823529411764,1.5049703945860746,3646.8057999999996,-3789.053,2024-11-20,2025-08-04,3,10,0.012116892373485389,0.0018785228901197968
3430,奇鈦科,Materials,Chemical,3,0.014606564935064898,0.0146065649350649,1.0,inf,3374.1165,0.0,2025-09-30,2025-09-30,1,3,0.0021382751247327157,0.0017380566519831942
6276,安鈦克,Technology/Electronics,Computer/Peripheral,10,0.0054467096518987,0.005446709651898699,0.5,3.089533755656785,3353.5575,-1604.9310000000005,2025-06-05,2025-06-09,1,10,0.007127583749109052,0.001727466411039195
8431,匯鑽科,Technology/Electronics,Other Electronics,5,0.0086446585695006,0.0086446585695006,1.0,inf,3202.8459999999995,0.0,2026-01-02,2026-01-02,1,5,0.003563791874554526,0.0016498327178619246
3234,光環,Technology/Electronics,Communications/Internet,10,0.0058502716926065014,0.005850271692606501,0.5,1.4506858304112151,2515.790500000001,-5582.138,2026-01-27,2026-02-05,1,10,0.007127583749109052,0.0012959204027250177
