window_id,train_start,train_end,test_start,test_end,selected_rank,config_hash,score,train_rank_eligible,event_types,event_type_count,min_turnover_twd,min_volume_ratio_20d,min_close_location,take_profit_pct,stop_loss_pct,path_assumption,market,require_foreign_not_selling_heavily,require_investment_trust_buying,avoid_margin_overcrowded,prefer_short_balance_rising_before_limit_up,foreign_heavy_sell_threshold,margin_crowding_threshold,fixed_notional_twd,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,capacity_participation_rate,train_trades,train_net_pnl,train_avg_net_return,train_median_net_return,train_win_rate,train_profit_factor,train_max_drawdown,train_daily_sharpe,train_avg_holding_minutes,train_avg_liquidity_twd,train_annualized_turnover_twd,train_capacity_proxy_twd,oos_trades,oos_net_pnl,oos_avg_net_return,oos_median_net_return,oos_win_rate,oos_profit_factor,oos_max_drawdown,oos_daily_sharpe,oos_avg_holding_minutes,oos_avg_liquidity_twd,oos_annualized_turnover_twd,oos_capacity_proxy_twd,event_types_selection_count,min_turnover_twd_selection_count,min_volume_ratio_20d_selection_count,min_close_location_selection_count,take_profit_pct_selection_count,stop_loss_pct_selection_count,path_assumption_selection_count,market_selection_count,require_foreign_not_selling_heavily_selection_count,require_investment_trust_buying_selection_count,avoid_margin_overcrowded_selection_count,prefer_short_balance_rising_before_limit_up_selection_count,foreign_heavy_sell_threshold_selection_count,margin_crowding_threshold_selection_count,event_types_selection_share,min_turnover_twd_selection_share,min_volume_ratio_20d_selection_share,min_close_location_selection_share,take_profit_pct_selection_share,stop_loss_pct_selection_share,path_assumption_selection_share,market_selection_share,require_foreign_not_selling_heavily_selection_share,require_investment_trust_buying_selection_share,avoid_margin_overcrowded_selection_share,prefer_short_balance_rising_before_limit_up_selection_share,foreign_heavy_sell_threshold_selection_share,margin_crowding_threshold_selection_share
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,1,f4d71f42561534a9,-15694.323661120488,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,44,-31249.16758100005,-0.009424358259061743,-0.03322603,0.29545454545454547,0.5245525728046947,-31388.522294000035,-5.193254178231818,270.0,706852636.3181819,6907747.095205479,20223569.075000003,15,-3806.5867444999694,-0.0031935695394433683,-0.01815983985102421,0.4,0.8091760954977499,-14567.128653,-2.803751206986815,270.0,811596000.0,9157160.674450548,26910984.650000002,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,1,f4d71f42561534a9,-18110.11708992541,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,59,-35055.75432550001,-0.007840259432040123,-0.03322602999999984,0.3220338983050847,0.5908237708283917,-36220.113735500025,-4.658692315620826,270.0,733482305.0508474,7356643.2261513155,20687341.0,21,-29652.406615000018,-0.019616981000982036,-0.033226030000000004,0.19047619047619047,0.2540257469236756,-30233.738733000017,-11.387165089240586,270.0,709519298.1428572,13219886.596153846,24494660.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF003,2023-01-01,2024-06-30,2024-07-01,2024-09-30,1,f4d71f42561534a9,-32719.900833389715,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,80,-64708.16094050003,-0.010931648843887374,-0.03322603,0.2875,0.4840842116508016,-65439.60611550006,-6.226212986241891,270.0,727192015.7375,8332063.969606947,21197750.825000003,19,13763.819234500026,0.007700182111077784,0.03660603999999984,0.5263157894736842,1.7942489665143144,-3895.1691660000006,2.50308150284872,270.0,565087162.6315789,12414666.86005435,19891552.8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF004,2023-01-01,2024-09-30,2024-10-01,2024-12-31,1,f4d71f42561534a9,-25886.321257212785,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,99,-50944.341706,-0.007355842903035476,-0.03322602999999984,0.3333333333333333,0.6431300321661683,-51772.496135000016,-4.72217718403658,270.0,696080983.3232323,8919856.561032863,20490153.150000002,7,-8948.19872700003,-0.019176735268490428,-0.033226030000000004,0.14285714285714285,0.24541129970826903,-10007.689036000029,-11.36112374838385,270.0,685872963.0,3916405.0353260874,39056165.45,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF005,2023-01-01,2024-12-31,2025-01-01,2025-03-31,1,f4d71f42561534a9,-30360.43120106387,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,106,-59892.54043300004,-0.00813646787056552,-0.03322602999999992,0.32075471698113206,0.6126258587308507,-60720.69486200005,-5.199996332144674,270.0,695406868.773585,8290147.203488372,21197750.825000003,7,-46.247679999993125,-7.175312007010841e-05,-0.010642301840490798,0.42857142857142855,0.994470057875756,-4837.709968000007,-0.03233555809019194,270.0,1232307417.5714285,4343715.333333334,38474655.6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF006,2023-01-01,2025-03-31,2025-04-01,2025-06-30,1,f4d71f42561534a9,-29969.47523768806,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,113,-59938.788113000024,-0.007636883770977308,-0.03322602999999984,0.3274336283185841,0.6322204060128078,-59938.78811300004,-4.764209537905209,270.0,728666194.8053098,7857529.824299634,24494660.5,18,-10708.310186500014,-0.00748554657059559,-0.03322603,0.4444444444444444,0.5867396038600688,-21177.57097250004,-4.45570821618194,270.0,887723810.3333334,11223203.320054945,25890892.875,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF007,2023-01-01,2025-06-30,2025-07-01,2025-09-30,1,f4d71f42561534a9,-35323.636319876896,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,131,-70647.09829950004,-0.007616089346497378,-0.03322603,0.3435114503816794,0.6259812723347014,-70647.09829950005,-4.740842194057977,270.0,750521439.6870229,8193359.087582236,25092459.55,19,-7928.699086499979,-0.005065615729084734,-0.0332260299999998,0.3684210526315789,0.7003129324295002,-12529.9035865,-2.981245752554441,270.0,903659648.6315789,11852729.73505435,18519955.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF008,2023-01-01,2025-09-30,2025-10-01,2025-12-31,1,f4d71f42561534a9,-39287.98801400303,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,150,-78575.79738600002,-0.007293029354958443,-0.03322602999999992,0.3466666666666667,0.6351135007107404,-78575.79738600006,-4.5007773888860765,270.0,769918946.1533333,8528679.903884461,24793560.025000002,14,3632.0019879999722,0.0021802155178007833,-0.003315157967542655,0.42857142857142855,1.2567230062430765,-7774.891020000006,0.5999561205964585,270.0,794461778.6428572,8548390.402173914,26821566.575000003,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF009,2023-01-01,2025-12-31,2026-01-01,2026-03-31,1,f4d71f42561534a9,-37471.98073904006,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,164,-74943.79539800005,-0.006484337719478997,-0.03322602999999982,0.35365853658536583,0.6734342415816028,-74943.79539800006,-3.9921815859121685,270.0,772014066.0,8530334.434762774,24886046.35,19,6363.827980000029,0.0038847981563688906,0.011766444630872482,0.5263157894736842,1.325152494559345,-6119.716938999994,0.016517680788556362,270.0,1510251358.5263157,11586460.5,26448417.05,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WF010,2023-01-01,2026-03-31,2026-04-01,2026-06-24,1,f4d71f42561534a9,-34290.056863831785,True,touched_limit_not_closed,1,200000000.0,3.0,0.8,0.04,0.03,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,183,-68579.96741800001,-0.005407760770620471,-0.02298749342105263,0.37158469945355194,0.7246475563911572,-68579.96741800006,-3.5190686918268996,270.0,848661653.7486339,8762249.56618887,25092459.55,29,-14622.386888499965,-0.00662543126633639,-0.016287596354166666,0.3793103448275862,0.6216925928859713,-23313.6654845,-3.9728815837440745,270.0,1417674051.3793104,19368586.575,17747998.85,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
