strategy_name,family,event_type,market,entry_exit_rule,min_turnover_twd,min_volume_ratio_20d,min_close_location,min_price,max_price,max_consecutive_limit_ups,min_consecutive_limit_ups,only_first_limit_up,fill_assumption,min_fill_quality_score,sector_filter,market_regime_filter,prior_5d_return_min,prior_5d_return_max,prior_20d_return_min,prior_20d_return_max,ranking_method,initial_capital_twd,max_positions_per_day,fixed_notional_twd,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score,active_days,average_daily_exposure,average_daily_entry_notional,symbol_concentration,sector_concentration,oos_quarterly_consistency,positive_quarters,total_quarters,candidate_signals_after_strategy_filter,config_hash,pnl_vs_champion,cagr_vs_champion,maxdd_vs_champion,pf_vs_champion,median_return_vs_champion,correlation_with_champion_daily_returns,combined_total_net_pnl,combined_cagr_like,combined_max_drawdown_pct,combined_improves_cagr,combined_improves_drawdown,diversification_score,challenger_score
closed_limit_up_with_market_regime_filter_4f6aa857,closed_limit_up_with_market_regime_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2629,1872,0.7120578166603271,9496666.536100004,10496666.536100004,9.496666536100005,1.607513642480737,-141188.61215000786,-0.020399132326290103,0.0045468087185720355,0.0029358839384265867,10.344101761032361,0.7350427350427351,0.8418891170431212,0.018918418628996937,0.015530591836734694,5.316511196630084,3.8677685950413223,0.23912096485259207,0,0,75,682,0,2.185724946035243,484,1033924.4913627639,963941.7658349328,0.007478632478632479,0.656517094017094,1.0,10,10,2629,70a5d1ea0f46,6537622.584450007,0.8541300239536143,0.0027354517483288814,-1.5415035997006505,-0.002773341314697775,0.46842553642678675,10932048.442854261,1.1401899758579117,-0.0164778613504963,True,True,1.3118439009589138,9.771697970095214
closed_limit_up_overnight_f16ad211,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2869,2091,0.7288253746950157,10301028.70544,11301028.70544,10.30102870544,1.6871899846897294,-377118.03099999996,-0.10276179194426603,0.004165623108155493,0.002850245753526881,8.174292394069504,0.7369679579148732,0.8333333333333334,0.01838560702916152,0.01566982876712329,4.495655794742658,3.7743682310469313,0.22386257432027287,0,0,75,703,0,2.1174062458905736,554,1020151.5306122449,956150.3401360544,0.007651841224294596,0.6465805834528934,1.0,10,10,2869,59ca265e5ab8,7341984.753790003,0.9338063661626066,-0.07962720786964705,-2.362359001588077,-0.00263410438430918,0.4182646285210236,11438697.953425126,1.1739816258857978,-0.048737034801359776,True,False,1.4229313861963264,9.646139663810848
closed_limit_up_with_prior_momentum_filter_08915384,closed_limit_up_with_prior_momentum_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,0.3,,0.8,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2725,2027,0.7438532110091743,9987954.270869981,10987954.270869981,9.987954270869981,1.6565906484433057,-410358.45929999975,-0.11703067694131904,0.004119781729940451,0.0026481506454376635,7.873643123951212,0.7355698075974346,0.8414414414414414,0.018242515538167692,0.015560268613138688,4.542198135426414,3.6721014492753623,0.2243178633095823,0,0,82,616,0,2.0661427872711244,552,989372.1258503401,927955.5442176871,0.00740009866798224,0.643315244203256,1.0,10,10,2725,8e18082706fb,7028910.319219985,0.903207029916183,-0.09389609286670006,-2.3158166609043205,-0.002743664538293781,0.4005568627359708,11256191.926092153,1.1618975316063964,-0.05587147729988625,True,False,1.4164709634225765,9.328904533462772
closed_limit_up_with_market_regime_filter_e7112b9c,closed_limit_up_with_market_regime_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2629,1874,0.7128185621909471,8896960.140439993,9896960.140439993,8.896960140439992,1.5457246556356607,-143970.0181500055,-0.02009746314095557,0.0044342170338061695,0.002920443707327358,9.907734811945796,0.7273212379935966,0.8357289527720739,0.01777676033018054,0.01503837212037638,4.941425217922221,3.871900826446281,0.24500576174755298,1,0,63,691,0,2.102344520881567,484,1030068.9635316698,960826.7370441458,0.007470651013874066,0.6574172892209178,1.0,10,10,2629,df03d8c852c6,5937916.188789996,0.792341037108538,0.0030371209336634147,-1.9165895784085132,-0.0032655610310560884,0.4854333787133059,10556581.269206269,1.1146385021736305,-0.01733349241870873,True,True,1.24287748023562,9.084147799847427
closed_limit_up_overnight_bb5b8e8a,closed_limit_up_overnight,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2869,2093,0.7295224817009411,9707546.914830001,10707546.914830001,9.70754691483,1.6287426187979994,-377118.03099999996,-0.10730357347470108,0.004075252917422995,0.002778616119846755,7.796148268477222,0.7310081223124701,0.8279569892473119,0.017408286914545976,0.015378885927505333,4.236840619424267,3.7779783393501805,0.22969202637257305,1,0,65,710,0,2.037850493654604,554,1016974.0136054421,953628.9455782312,0.008600095556617296,0.6454849498327759,1.0,10,10,2869,d0e4047d2482,6748502.963180005,0.8753590002708767,-0.0841689894000821,-2.621174176906467,-0.0029250472239271356,0.4301845768799026,11082386.986570528,1.1502975940479239,-0.05100792556657735,True,False,1.3636433741616996,8.9803563666904
closed_limit_up_with_prior_momentum_filter_963848f9,closed_limit_up_with_prior_momentum_filter,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,none,,0.3,,0.8,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2725,2029,0.7445871559633027,9517944.87588001,10517944.87588001,9.51794487588001,1.6096670915082014,-386444.3276999998,-0.11521606957291049,0.004046145817718917,0.0027229786506515197,7.607636845050672,0.7318876293740759,0.8216216216216217,0.017618681111581606,0.015365987854251011,4.3433593682091844,3.675724637681159,0.22954582655629982,1,0,74,621,0,2.00689961457061,552,987005.5952380953,926120.731292517,0.008378511582060127,0.641695416461311,1.0,10,10,2725,6808ad9d6841,6558900.924230014,0.8562834729810787,-0.09208148549829151,-2.51465542812155,-0.0029379452971814574,0.41718153284903425,10969283.725290144,1.1426998498477987,-0.054964173615682003,True,False,1.3614509297923176,8.793884596291958
first_limit_up_only_a8c1e849,first_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2180,1762,0.808256880733945,8052840.332470007,9052840.332470007,8.052840332470007,1.4548708556014072,-341603.50359999994,-0.1160532510700521,0.003814948462362076,0.0025469123469549215,7.272858660864697,0.7224744608399546,0.8339483394833949,0.017098282444919184,0.014903872713133358,4.221946704050565,3.281191806331471,0.23284022568010823,0,0,62,356,0,1.8413128511830104,537,863378.7328767123,803254.7602739726,0.00681044267877412,0.6526674233825198,1.0,10,10,2180,aafa508f9ef7,5093796.380820011,0.7014872370742844,-0.09291866699543311,-2.636068092280169,-0.0034000604382991104,0.37045633928817345,10033728.441677013,1.0782913942744408,-0.05538276436425293,True,False,1.2793592122064625,7.24050217330289
first_limit_up_only_455cdbc1,first_limit_up_only,closed_limit_up,BOTH,day0_close_to_day1_open,200000000.0,1.5,,10.0,100.0,1,,True,moderate,60.0,avoid_healthcare_materials,none,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,2180,1763,0.8087155963302752,7877371.147559999,8877371.147559999,7.877371147559998,1.4353616882594387,-319579.8576000002,-0.11032810690132307,0.0037809244130865708,0.002521532231625323,7.226557560306635,0.7226318774815655,0.8247232472324724,0.016771179839564557,0.014815803094233476,4.172933493501261,3.283054003724395,0.23393600602176942,0,0,55,362,0,1.8223970724571366,537,863079.9143835617,802994.1267123288,0.007941009642654566,0.6454906409529212,1.0,10,10,2180,be8faee88861,4918327.195910002,0.6819780697323159,-0.08719352282670409,-2.6850813028294738,-0.003488130057198993,0.3762439419422875,9915248.962719858,1.0699256842697298,-0.05252019227988842,True,False,1.2568401895429266,7.0400412877971545
closed_limit_up_with_market_regime_filter_cc53f51a,closed_limit_up_with_market_regime_filter,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,fill_quality_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1647,1391,0.8445658773527626,6788638.915539993,7788638.915539993,6.788638915539993,1.3088723953744266,-155774.66074999794,-0.020038497167058144,0.0040856510494718615,0.0027047363157967075,9.997953888054068,0.7505391804457225,0.8348214285714286,0.018267203815379492,0.015530591836734694,5.389390026925125,3.0979955456570156,0.23356791644064703,0,0,50,206,0,1.8832074289288772,449,798708.9130434783,733192.90513834,0.009345794392523364,0.6908698777857656,1.0,10,10,1647,eeff5416a392,3829594.9638899965,0.5554887768473038,0.0030960869075608403,-1.4686247694056096,-0.002773341314697775,0.6080652681301884,9127812.434340645,1.0130307804865262,-0.01924728306938359,True,True,0.9151163567938538,6.670586746884895
closed_limit_up_with_market_regime_filter_f5f9b5a3,closed_limit_up_with_market_regime_filter,closed_limit_up,BOTH,day0_close_to_day1_open,500000000.0,1.5,,10.0,100.0,3,,False,moderate,60.0,avoid_healthcare_materials,not_bear,,,,,composite_score,1000000.0,5,300000.0,0.2,0.7,0.35,5,1647,1391,0.8445658773527626,6460489.22106,7460489.22106,6.4604892210600005,1.2687116797664446,-155774.66074999794,-0.020921650857188497,0.004001652854969756,0.002712110972208248,9.461696187563241,0.7411933860531992,0.8169642857142857,0.017349894225200006,0.015024905472636694,4.993749649934323,3.0979955456570156,0.2360564343356537,0,0,52,204,0,1.8157922514512888,449,798525.0988142292,733026.0869565217,0.010064701653486701,0.6879942487419123,1.0,10,10,1647,ee7561493795,3501445.269410004,0.5153280612393218,0.002212933217430487,-1.864265146396412,-0.003279027678795775,0.5869514771055395,8892680.459501395,0.9955816134924174,-0.02041087236184219,True,True,0.9001682245378264,6.307580479708311
