summary_level,group,trades,net_pnl,avg_net_return,median_net_return,profit_factor,max_drawdown,positive_oos_windows,total_windows,selection_count,selection_share,details_json
overall,all_selected_configs,2785.0,4056995.6146499994,0.018953166531730486,0.01675596290571855,5.9958639163448515,-161558.34499999974,10.0,10.0,,,"{""best_robust_config_hash"": ""4b709b82b037e25f"", ""best_robust_config"": {""market"": ""TPEX"", ""min_turnover_twd"": 500000000.0, ""min_volume_ratio_20d"": 1.5, ""max_consecutive_limit_ups"": 3, ""only_first_limit_up"": false, ""min_price"": 10.0, ""max_price"": 100.0, ""fill_assumption"": ""moderate"", ""min_fill_quality_score"": 60.0}}"
by_year,2024,890.0,1750897.35365,0.024309822845178082,0.02259434535653276,15.581041338723729,-13578.27649999992,,,,,{}
by_year,2025,945.0,1115471.0749999997,0.016239701516584513,0.01570493653516295,4.877360199143601,-49615.43849999999,,,,,{}
by_year,2026,950.0,1190627.186,0.01663400897419847,0.009457535651799924,3.9448941613690716,-161558.34499999997,,,,,{}
by_quarter,2024Q1,149.0,333391.6871,0.027424546358741683,0.02358829792746114,39.16395995138564,-1676.9010000000126,,,,,{}
by_quarter,2024Q2,290.0,475291.9555,0.020366127511831023,0.021137165590111643,10.47547419490449,-8767.919499999989,,,,,{}
by_quarter,2024Q3,275.0,548090.5965,0.024278755509217237,0.026209035019455255,17.009514052817696,-13578.276499999978,,,,,{}
by_quarter,2024Q4,176.0,394123.11455,0.028219603302785487,0.021835716577540108,15.624723569601864,-4656.652700000006,,,,,{}
by_quarter,2025Q1,270.0,336560.96474999987,0.01649698884922543,0.014424601520638602,5.956621326313156,-18471.385500000073,,,,,{}
by_quarter,2025Q2,255.0,273250.5814999999,0.015080911324104685,0.01718332288037166,3.172087228977398,-49615.438500000004,,,,,{}
by_quarter,2025Q3,145.0,123926.25450000001,0.01301028404035503,0.007869180346820808,5.941790031219395,-6742.3125,,,,,{}
by_quarter,2025Q4,275.0,381733.27424999984,0.01876439043775754,0.020931546125461255,6.539682970260431,-36629.01800000004,,,,,{}
by_quarter,2026Q1,380.0,556391.2175,0.01913770368184445,0.013155189347088697,5.522470095761279,-29699.402500000026,,,,,{}
by_quarter,2026Q2,570.0,634235.9685000001,0.014964879169101147,0.00782601107268381,3.2548685673672653,-161558.34499999997,,,,,{}
parameter_stability:market,TPEX,,,,,,,,,50.0,1.0,{}
parameter_stability:min_turnover_twd,500000000.0,,,,,,,,,50.0,1.0,{}
parameter_stability:min_volume_ratio_20d,1.5,,,,,,,,,30.0,0.6,{}
parameter_stability:min_volume_ratio_20d,5.0,,,,,,,,,10.0,0.2,{}
parameter_stability:min_volume_ratio_20d,2.0,,,,,,,,,10.0,0.2,{}
parameter_stability:max_consecutive_limit_ups,3,,,,,,,,,45.0,0.9,{}
parameter_stability:max_consecutive_limit_ups,2,,,,,,,,,5.0,0.1,{}
parameter_stability:only_first_limit_up,False,,,,,,,,,50.0,1.0,{}
parameter_stability:min_price,10.0,,,,,,,,,30.0,0.6,{}
parameter_stability:min_price,20.0,,,,,,,,,20.0,0.4,{}
parameter_stability:max_price,100.0,,,,,,,,,26.0,0.52,{}
parameter_stability:max_price,200.0,,,,,,,,,16.0,0.32,{}
parameter_stability:max_price,500.0,,,,,,,,,8.0,0.16,{}
parameter_stability:fill_assumption,moderate,,,,,,,,,39.0,0.78,{}
parameter_stability:fill_assumption,optimistic,,,,,,,,,9.0,0.18,{}
parameter_stability:fill_assumption,conservative,,,,,,,,,2.0,0.04,{}
parameter_stability:min_fill_quality_score,60.0,,,,,,,,,20.0,0.4,{}
parameter_stability:min_fill_quality_score,40.0,,,,,,,,,11.0,0.22,{}
parameter_stability:min_fill_quality_score,70.0,,,,,,,,,10.0,0.2,{}
parameter_stability:min_fill_quality_score,50.0,,,,,,,,,9.0,0.18,{}
