window_id,train_start,train_end,test_start,test_end,selected_rank,config_hash,score,train_rank_eligible,event_types,event_type_count,min_turnover_twd,min_volume_ratio_20d,min_close_location,take_profit_pct,stop_loss_pct,path_assumption,market,require_foreign_not_selling_heavily,require_investment_trust_buying,avoid_margin_overcrowded,prefer_short_balance_rising_before_limit_up,foreign_heavy_sell_threshold,margin_crowding_threshold,fixed_notional_twd,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,capacity_participation_rate,train_trades,train_net_pnl,train_avg_net_return,train_median_net_return,train_win_rate,train_profit_factor,train_max_drawdown,train_daily_sharpe,train_avg_holding_minutes,train_avg_liquidity_twd,train_annualized_turnover_twd,train_capacity_proxy_twd,oos_trades,oos_net_pnl,oos_avg_net_return,oos_median_net_return,oos_win_rate,oos_profit_factor,oos_max_drawdown,oos_daily_sharpe,oos_avg_holding_minutes,oos_avg_liquidity_twd,oos_annualized_turnover_twd,oos_capacity_proxy_twd
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,1,c82e9c96361be785,-9031.261837751113,True,touched_limit_not_closed,1,200000000.0,2.0,0.85,0.03,0.02,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,36,-14618.477218500037,-0.004377041848717679,-0.02325002,0.3333333333333333,0.6225603806723274,-18062.47115100004,-2.6722216746859084,270.0,726072785.75,5767329.021575343,18291505.35,14,-16041.691733000009,-0.012809337370180527,-0.02325002,0.21428571428571427,0.2385756858025879,-16878.297008000016,-11.518992690789467,270.0,612813412.5714285,8806406.282967033,22626045.325000003
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,2,08357751d37bd0c3,-9163.4661884893,True,near_limit_8_9+near_limit_9_10,2,200000000.0,3.0,0.85,0.03,0.02,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,25,-17621.588428999963,-0.01056859786349301,-0.02325002,0.24,0.4191978998963822,-18326.826690999966,-8.06035213316474,270.0,457639016.2,3695088.15,18917078.3,6,-7146.365541000014,-0.014936678333333363,-0.02325002,0.16666666666666666,0.24162275722015833,-9423.233106000014,-11.644022711347763,270.0,808400258.1666666,3917643.4038461535,25045879.925
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,3,1bd18df37f30fffe,-9232.204381475896,True,near_limit_9_10,1,100000000.0,3.0,0.8,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,20,-17124.829396500016,-0.008766331407407417,-0.02325002,0.3,0.4151803021893705,-18464.33035450003,-5.488816031834881,270.0,854759956.15,3481386.379109589,13546521.675,5,-6024.414700000029,-0.013274010000000069,-0.02325002,0.2,0.23111457608726593,-7835.25674000003,-6.861553420995669,270.0,341627730.4,3232261.813186813,11271841.75
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,4,054289ae6e90583a,-9232.204381475896,True,near_limit_9_10,1,100000000.0,3.0,0.85,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,20,-17124.829396500016,-0.008766331407407417,-0.02325002,0.3,0.4151803021893705,-18464.33035450003,-5.488816031834881,270.0,854759956.15,3481386.379109589,13546521.675,5,-6024.414700000029,-0.013274010000000069,-0.02325002,0.2,0.23111457608726593,-7835.25674000003,-6.861553420995669,270.0,341627730.4,3232261.813186813,11271841.75
WF001,2023-01-01,2023-12-31,2024-01-01,2024-03-31,5,5615b3b367004925,-9537.117141482018,True,near_limit_8_9,1,200000000.0,3.0,0.85,0.03,0.02,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,20,-16613.50872499998,-0.012386247329366273,-0.02325002,0.2,0.3345196235798404,-19074.12349699998,-9.019500153165433,270.0,480492731.5,2903850.5773972603,22036421.950000003,5,-5221.263885,-0.01327401,-0.02325002,0.2,0.30365799535296223,-7498.131450000001,-9.446273875226122,270.0,924992942.8,3259615.4258241756,28390276.700000003
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,1,a7c0babd69843eb6,-11982.731759696922,True,near_limit_9_10,1,100000000.0,2.0,0.8,0.03,0.02,pessimistic,TWSE,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,20,-23965.350169500023,-0.012672903390600707,-0.02325002,0.2,0.24531497459156879,-23965.35016950003,-9.617919703370704,270.0,908197043.95,2821901.0748355263,16330289.075000001,3,-5340.529594000007,-0.023250020000000038,-0.02325002,0.0,0.0,-5340.529594000007,-5583545212862599.0,270.0,160474377.66666666,1825471.335164835,7067871.800000001
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,2,2e07b7c52cc76831,-11982.731759696922,True,near_limit_9_10,1,100000000.0,2.0,0.85,0.03,0.02,pessimistic,TWSE,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,20,-23965.350169500023,-0.012672903390600707,-0.02325002,0.2,0.24531497459156879,-23965.35016950003,-9.617919703370704,270.0,908197043.95,2821901.0748355263,16330289.075000001,3,-5340.529594000007,-0.023250020000000038,-0.02325002,0.0,0.0,-5340.529594000007,-5583545212862599.0,270.0,160474377.66666666,1825471.335164835,7067871.800000001
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,3,1bd18df37f30fffe,-13047.877477585658,True,near_limit_9_10,1,100000000.0,3.0,0.8,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,25,-23149.244096500042,-0.009667867125925947,-0.02325002,0.28,0.3763252489798058,-26095.658276500057,-5.883103489435389,270.0,752133511.0,3431670.7310855263,12897322.200000001,6,-3443.647875000007,-0.006623336666666685,-0.023250019999999996,0.3333333333333333,0.542435095189717,-5340.529594000007,-4.0819328406672675,270.0,1081788805.8333333,3821578.64010989,11592729.700000001
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,4,054289ae6e90583a,-13047.877477585658,True,near_limit_9_10,1,100000000.0,3.0,0.85,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,25,-23149.244096500042,-0.009667867125925947,-0.02325002,0.28,0.3763252489798058,-26095.658276500057,-5.883103489435389,270.0,752133511.0,3431670.7310855263,12897322.200000001,6,-3443.647875000007,-0.006623336666666685,-0.023250019999999996,0.3333333333333333,0.542435095189717,-5340.529594000007,-4.0819328406672675,270.0,1081788805.8333333,3821578.64010989,11592729.700000001
WF002,2023-01-01,2024-03-31,2024-04-01,2024-06-30,5,5615b3b367004925,-13286.190292499306,True,near_limit_8_9,1,200000000.0,3.0,0.85,0.03,0.02,pessimistic,TPEX,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,25,-21834.772609999978,-0.012563799863493017,-0.02325002,0.2,0.3273913284275631,-26572.25494699998,-9.328422789313995,270.0,569392773.76,2974847.5098684207,25155765.6,5,3233.741430000029,0.006678010000000079,0.02663003,0.6,2.0943000256471933,-1725.1514839999854,9.012954445391964,270.0,815205279.8,2903657.2252747254,14221115.3
WF003,2023-01-01,2024-06-30,2024-07-01,2024-09-30,1,22927992ebd6f1eb,-10506.977492410933,True,near_limit_9_10,1,200000000.0,3.0,0.8,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,21,-17981.418652500044,-0.00899857714285717,-0.02325002,0.2857142857142857,0.40908184187020835,-21013.87251150006,-4.996998385705978,270.0,1136396844.952381,2364007.1743601463,18606019.900000002,1,2603.0854325000146,0.026630030000000148,0.026630030000000148,1.0,inf,0.0,0.0,270.0,311795569.0,787798.5937500001,15589778.450000001
WF003,2023-01-01,2024-06-30,2024-07-01,2024-09-30,2,012ca57979738299,-10506.977492410933,True,near_limit_9_10,1,200000000.0,3.0,0.85,0.03,0.02,pessimistic,BOTH,False,False,False,False,-0.05,5.0,100000.0,0.001425,0.28,0.0015,5.0,20.0,0.05,21,-17981.418652500044,-0.00899857714285717,-0.02325002,0.2857142857142857,0.40908184187020835,-21013.87251150006,-4.996998385705978,270.0,1136396844.952381,2364007.1743601463,18606019.900000002,1,2603.0854325000146,0.026630030000000148,0.026630030000000148,1.0,inf,0.0,0.0,270.0,311795569.0,787798.5937500001,15589778.450000001
